"","Canton","Nombre","Tipo","X","Y"
"20","El Guarco","Municipalidad de El Guarco, Avenida 48, Victoria, El Tejar, Cantón El Guarco, Cartago Province, 30801, Costa Rica","Town Hall","-83.9388298","9.8453066"
"21","Cartago","Municipalidad de Cartago, Avenida Central, Cartago, Oriental, Cantón Cartago, Cartago Province, 30101, Costa Rica","Town Hall","-83.9206174","9.8649524"
"22","Puntarenas","Municipalidad de Puntarenas, Calle 9, Puntarenas, Cantón Puntarenas, Puntarenas Province, 60101, Costa Rica","Town Hall","-84.8363739","9.9766004"
"23","Jiménez","Municipalidad de Jiménez, Calle 2, Santa Cecilia, Juan Viñas, Cantón Jiménez, Cartago Province, 30401, Costa Rica","Town Hall","-83.7464017","9.8932479"
"24","Turrialba","Municipalidad de Turrialba, Calle 1, Cabiria, Turrialba, Cantón Turrialba, Cartago Province, 30501, Costa Rica","Town Hall","-83.6838138","9.9065681"
"25","Mora","Municipalidad de Mora, Calle 4, Michoacán, Colón, Cantón Mora, San Jose Province, 10701, Costa Rica","Town Hall","-84.2425464","9.9161190"
"26","Oreamuno","Municipalidad de Oreamuno, Avenida 9A, Barreal, San Rafael, Cantón Oreamuno, Cartago Province, 30701, Costa Rica","Town Hall","-83.9042933","9.8687632"
"27","Alajuelita","Municipalidad de Alajuelita, Avenida 68, Mojados, Alajuelita, Cantón San José, San Jose Province, 10111, Costa Rica","Town Hall","-84.1002972","9.9033714"
"28","Limón","Municipalidad de Limón, Calle 8, Bella Vista, Limón, Cantón Limón, Limón Province, 70101, Costa Rica","Town Hall","-83.0334040","9.9921702"
"29","La Unión","Municipalidad de La Unión, Avenida Central, Fátima, Tres Ríos, Cantón La Unión, Cartago Province, 30301, Costa Rica","Town Hall","-83.9852255","9.9083058"
"30","Curridabat","Municipalidad de Curridabat, Calle 93, El Dorado, Curridabat, Cantón Curridabat, San Jose Province, 11801, Costa Rica","Town Hall","-84.0356256","9.9157082"
"31","Orotina","Municipalidad de Orotina, Avenida Central, El Molino, Orotina, Cantón Orotina, Alajuela Province, 20901, Costa Rica","Town Hall","-84.5239488","9.9111368"
"32","San José","Municipalidad de San José, 0227, Avenida 10 San Martín, Silos, San José, Hospital, Cantón San José, San Jose Province, 10103, Costa Rica","Town Hall","-84.0947618","9.9314192"
"33","Escazú","Municipalidad de Escazú, Calle 134, Faroles, Escazú, Cantón Escazú, San Jose Province, 10201, Costa Rica","Town Hall","-84.1401695","9.9205608"
"34","Alvarado","Municipalidad de Alvarado, Calle 6, Lourdes, Pacayas, Cantón Alvarado, Cartago Province, 30601, Costa Rica","Town Hall","-83.8107725","9.9164333"
"35","Santa Ana","Municipalidad de Santa Ana, Calle Central, Barrio Obando, Santa Ana, Cantón Santa Ana, San Jose Province, 10901, Costa Rica","Town Hall","-84.1811359","9.9331150"
"36","Nandayure","Municipalidad de Nandayure, Calle 1, Bello Horizonte, Carmona, Cantón Nandayure, Provincia Guanacaste, 50901, Costa Rica","Town Hall","-85.2516320","9.9951323"
"37","Montes de Oca","Municipalidad de Montes de Oca, Avenida 1, Roosevelt, San Pedro, Cantón Montes de Oca, San Jose Province, 11501, Costa Rica","Town Hall","-84.0526443","9.9332302"
"38","Goicoechea","Municipalidad de Goicoechea, Avenida 31, La Maravilla, Guadalupe, Cantón Goicoechea, San Jose Province, 10801, Costa Rica","Town Hall","-84.0564446","9.9454901"
"39","Tibás","Municipalidad de Tibás, Avenida 63, Las Rosas, San Juan, Cantón Tibás, San Jose Province, 11301, Costa Rica","Town Hall","-84.0784700","9.9625138"
"40","San Mateo","Municipalidad de San Mateo, Calle 2, Barrio Corazón de Jesús, San Mateo, Cantón San Mateo, Alajuela Province, 20401, Costa Rica","Town Hall","-84.5227677","9.9357862"
"41","Nicoya","Municipalidad de Nicoya, Avenida 2, Nicoya, Cantón Nicoya, Provincia Guanacaste, 50201, Costa Rica","Town Hall","-85.4537856","10.1418239"
